d,_NAME_,_LABEL_,AAPL,ABT,ACN,AEP,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BHI,BK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DELL,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FCX,FDX,GD,GE,GILD,GOOG,GS,HAL,HD,HNZ,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MCD,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,VZ,WAG,WFC,WMB,WMT,XOM
57,RET,Returns,0.167215,0.058776,0.160929,0.023157,0.143116,0.079741,0.258191,0.088036,0.242444,0.054176,0.088500,0.052368,0.128085,0.133582,0.077082,0.051764,0.054192,0.207489,0.040899,0.057619,0.044362,0.095365,0.141416,0.095822,0.166420,0.094087,0.094432,0.101954,0.017210,0.132950,0.076642,0.050366,0.113487,0.128832,0.045678,0.084626,0.186137,0.096989,0.124217,0.130525,0.118756,0.168370,0.055868,0.172279,0.138749,0.034169,0.124936,0.096229,0.089418,0.086895,0.086636,0.046755,0.055071,0.087526,0.025316,0.099112,0.019847,0.067727,0.021316,0.103883,0.093190,-0.089649,0.057736,-0.000405,0.043682,0.148714,0.184427,0.108607,0.229114,0.076628,0.042692,0.079195,0.005028,0.178394,0.040756,0.111836,0.155260,0.014991,0.025318,0.058084,0.044566,0.022348,0.178975,0.110813,0.121470,0.045298,0.041827,0.092317,0.103623,0.246280,0.066454,0.054054,0.067411,0.045339
58,RET,Returns,0.060723,-0.009188,0.062838,0.033398,-0.033597,0.037743,0.052018,0.034881,0.079229,-0.009279,0.061617,-0.126197,0.067491,0.093192,-0.037505,-0.007746,0.066496,0.004575,0.010278,0.146018,-0.057649,0.043662,-0.023492,0.043836,-0.039800,0.019124,0.059615,0.109869,0.091390,0.123088,0.004325,0.223771,0.034958,0.042537,-0.041334,0.154412,0.113655,0.025965,0.091228,-0.014154,0.114013,0.167196,0.114470,-0.036589,-0.024621,0.036732,0.072144,-0.000713,0.070523,0.044271,0.028728,-0.009984,0.047847,-0.036408,0.000140,-0.037685,0.043752,0.055837,0.048895,-0.028716,0.058181,0.245566,-0.013583,0.009724,0.088812,0.016222,0.208905,0.033272,0.096089,0.004214,-0.017158,0.014269,0.068064,0.000609,0.016298,0.117808,0.134394,0.029135,0.035368,0.011888,-0.028069,0.060685,0.094326,0.026773,0.071883,0.009746,0.119334,0.049698,0.011583,0.011343,0.037627,0.125589,0.012145,0.076064
59,RET,Returns,0.033790,-0.093726,-0.031089,-0.036859,-0.038701,-0.078685,0.061551,0.065532,0.042066,0.042451,-0.091308,-0.043585,-0.046731,0.123654,0.077015,-0.061710,0.007194,0.076336,-0.007391,-0.028630,0.000268,0.013176,0.077107,-0.161855,0.028875,-0.011017,0.002538,-0.081626,0.010657,0.011025,0.085358,-0.024113,0.022360,0.009381,-0.022660,0.128096,0.068833,0.040128,-0.029800,-0.011860,-0.079909,-0.094492,-0.028797,0.187696,-0.014684,-0.017104,0.061611,-0.002617,-0.010376,0.063092,-0.025886,-0.006112,0.037345,-0.029830,-0.035068,0.063730,0.014659,-0.048254,-0.035705,0.003384,-0.055769,0.008415,-0.050675,-0.016486,-0.046784,0.057588,0.140067,-0.015612,-0.079476,0.121328,-0.010260,-0.053689,-0.039327,0.040965,0.003689,0.075980,0.109601,-0.003961,0.034160,-0.025596,0.101078,-0.086358,0.075414,0.013037,0.032048,0.048411,-0.017355,0.012371,-0.014470,0.033796,0.046048,0.060437,-0.001477,0.052790
60,RET,Returns,0.036670,0.030101,0.119344,0.010674,0.095156,0.041943,0.026226,0.107674,0.188435,-0.006941,0.023365,0.219178,0.049022,0.096051,0.118933,0.049128,0.126191,0.107092,0.049902,0.096581,0.143164,0.131793,0.068037,0.055845,0.121613,0.126961,0.061502,0.024962,0.038346,0.099743,0.114780,-0.044955,0.065612,0.038133,0.057658,0.053325,0.195124,0.020742,0.073687,0.164245,-0.007123,0.068849,0.076982,0.081395,0.160543,0.033976,0.069403,0.005962,0.037466,-0.006026,0.004874,0.134225,0.041159,0.040998,0.027484,0.104846,-0.019668,0.106174,0.164875,0.027626,0.041667,0.162216,0.056571,0.112428,0.105018,-0.004644,0.099037,0.044042,0.157330,0.116933,0.018258,0.074233,0.053381,0.057027,0.001946,0.050000,0.079648,0.013521,0.010051,0.057215,0.056024,0.090878,0.022013,-0.007804,0.028299,0.034935,0.136249,0.045835,0.117776,0.117934,0.138920,0.089215,0.002635,0.051179
61,RET,Returns,0.051959,-0.048215,0.061456,-0.008338,-0.023212,0.003279,-0.057556,0.002348,0.012080,0.014912,0.064664,0.029235,-0.042078,0.198356,0.037086,-0.036631,0.019028,0.040465,-0.038198,0.039804,0.131579,0.049339,-0.005124,0.045477,-0.012798,0.040329,0.016038,-0.028782,0.036257,0.039250,0.129665,0.090909,0.086900,0.029911,0.020893,-0.050030,-0.090266,-0.028922,0.068489,0.101148,0.059051,0.010758,-0.026998,0.102131,0.048774,-0.039628,0.053612,0.085273,0.103843,0.020447,-0.033630,0.060585,-0.044397,-0.007705,0.138607,-0.006778,-0.040255,0.039229,0.029928,0.018772,-0.045085,0.057725,-0.079634,0.082323,-0.006628,-0.034418,0.098885,-0.025947,0.024920,-0.014475,-0.015613,0.040548,-0.011164,0.093756,0.086858,-0.018674,0.065748,-0.015956,0.019700,-0.048673,-0.088142,-0.022381,0.047385,0.136804,0.021260,-0.013227,0.001112,0.032774,0.009153,0.037988,0.046144,0.091829,0.039681,0.103392
62,RET,Returns,0.040935,0.065102,0.000194,0.015695,0.020552,-0.068083,0.021516,0.044068,0.061624,0.004380,0.042458,0.040787,0.096102,0.039264,-0.026897,0.025020,-0.029046,0.061025,0.022795,0.132308,0.034468,0.098937,0.043917,-0.122459,-0.033333,0.100495,0.090766,0.202888,0.125289,0.047351,0.031007,0.103590,0.093210,0.019107,-0.005293,-0.056426,-0.026207,-0.003322,0.009549,0.045680,0.015633,0.021720,0.003117,0.045111,0.019037,0.057263,0.039859,-0.045086,0.003272,0.008910,0.036975,0.038941,0.017025,0.008053,0.003895,0.055242,0.035564,0.041754,0.034739,0.055278,0.079115,-0.020305,-0.018089,0.009524,-0.035528,0.079413,0.076725,0.078281,0.027162,0.054717,-0.013839,0.066959,-0.001267,0.104194,0.024405,0.050111,0.052590,0.025120,0.092558,0.031250,-0.037024,0.222099,0.050133,0.037272,0.012258,0.037699,0.027037,0.032780,0.036496,0.076039,-0.003393,0.124861,-0.072945,0.065568
63,RET,Returns,-0.013314,0.019751,0.067793,-0.017887,0.006608,0.041301,0.039471,0.050554,0.002200,0.037411,0.026663,-0.066480,0.017498,0.033497,-0.017111,0.036807,-0.055556,0.081803,0.028528,-0.040373,0.044002,0.025555,-0.019655,-0.072737,0.038112,0.036048,0.001823,-0.083386,-0.014861,0.019914,0.005359,-0.073571,-0.023888,-0.020617,-0.012452,-0.009302,0.049103,0.040547,0.005780,-0.041587,0.089533,-0.043430,-0.031628,0.061781,-0.004270,-0.018917,0.031083,-0.059134,0.007351,-0.060084,-0.035645,-0.012637,0.045213,0.017650,0.015664,0.009935,0.005417,-0.014279,-0.055532,0.013770,0.040993,0.005147,0.025177,-0.079515,-0.044771,-0.146243,-0.002388,0.056267,0.016185,0.029224,0.023179,0.055613,-0.022998,-0.079725,-0.006639,0.120376,-0.001713,0.000000,-0.026172,0.078577,-0.048335,-0.065445,-0.029486,0.064467,0.030605,0.007046,-0.042373,0.013287,0.043879,-0.073835,-0.014879,0.031126,0.008369,-0.016369
64,RET,Returns,0.004656,0.070744,0.047480,0.038133,0.064821,0.063611,0.087048,0.019859,-0.036377,0.089823,0.079129,-0.078770,0.058211,0.054201,-0.026113,0.063186,0.038462,0.040413,0.051634,0.064826,0.053310,-0.012146,0.103246,0.021574,0.059004,0.018141,0.033109,0.066161,0.000232,0.085828,-0.008391,0.107925,0.067018,0.040048,0.022551,0.037559,-0.005040,0.022662,-0.042712,0.019950,-0.085472,-0.072704,-0.047856,0.012841,0.002428,0.049365,0.025456,-0.014645,0.046054,0.147175,0.109198,-0.004772,0.016883,0.052317,-0.014304,-0.002649,0.029176,0.066709,0.046054,0.039679,0.031118,-0.054525,0.089064,-0.040996,0.020874,0.087451,-0.032547,0.078100,0.077395,0.093789,0.069554,0.032496,0.062094,0.041218,-0.037154,-0.020298,-0.037637,0.036801,0.068869,0.030709,-0.018196,0.060504,0.031829,0.089159,0.052273,0.008746,-0.023080,0.058240,-0.007071,0.064275,-0.081993,0.063823,0.056292,0.045763
65,RET,Returns,-0.006569,0.004035,0.004551,0.059759,-0.066489,0.064908,0.004494,-0.065757,0.007347,0.051345,-0.016671,-0.043160,0.046046,-0.043018,-0.029351,0.023488,-0.103268,-0.083268,0.037700,-0.037009,-0.006212,-0.063506,0.022623,-0.041096,0.068194,-0.034265,-0.054235,0.039431,-0.034107,-0.118566,-0.076154,-0.093632,0.004587,-0.096676,0.004861,-0.035553,-0.052345,-0.021219,0.019226,-0.039609,0.074665,-0.027715,-0.065757,-0.004754,-0.023419,0.072028,-0.022007,-0.074065,-0.005276,-0.019819,0.032562,-0.052378,-0.009635,0.052959,-0.007571,-0.080381,0.049036,-0.025150,-0.057491,-0.023454,0.045455,0.044092,0.022253,-0.076099,-0.028935,0.025875,-0.053592,-0.012989,-0.048387,-0.056348,0.032370,0.032427,0.032357,0.030040,0.037693,0.019890,-0.042117,0.026639,0.037716,0.014139,0.013849,-0.031564,-0.006473,-0.005688,0.019088,-0.012805,-0.008520,-0.014847,-0.022499,0.025398,-0.021299,-0.053663,0.011004,-0.045920
66,RET,Returns,-0.034960,0.007081,0.052797,-0.013613,-0.027087,-0.036174,0.039656,-0.009711,-0.033576,0.005426,-0.052544,-0.066383,0.008064,-0.018531,-0.088581,0.018428,0.011908,0.006238,-0.001371,0.003962,-0.049135,0.026905,-0.015034,-0.070833,-0.028690,-0.019731,0.014071,0.036692,-0.062215,0.003321,-0.060545,0.035290,-0.032315,0.031164,0.023656,-0.075737,0.024400,0.014310,0.010375,-0.032077,-0.007906,-0.042796,-0.054288,0.016949,0.005237,-0.021122,0.000672,-0.023007,0.015509,-0.015549,-0.011443,-0.053192,0.014219,-0.024688,0.039409,-0.034383,0.034094,-0.053317,-0.005215,0.004980,-0.045260,0.021115,-0.029388,-0.047599,0.039584,0.069153,0.079085,0.022098,-0.038282,-0.031062,-0.002461,-0.039627,-0.051194,-0.030722,-0.010520,0.073390,0.007933,0.007485,-0.015501,-0.004753,-0.052897,-0.001647,-0.069972,0.057048,-0.005430,-0.007620,0.001367,0.008431,0.008123,-0.026816,-0.010927,-0.029946,-0.037668,-0.025039
